paper_id,year,venue,model_reported,strict_reported
2020.acl-main.320,2020,ACL,0,0
2020.acl-main.321,2020,ACL,0,0
2020.acl-main.322,2020,ACL,1,0
2020.acl-main.323,2020,ACL,1,0
2020.acl-main.324,2020,ACL,1,1
2020.acl-main.325,2020,ACL,0,0
2020.acl-main.326,2020,ACL,0,0
2020.acl-main.327,2020,ACL,0,0
2020.acl-main.328,2020,ACL,0,0
2020.acl-main.329,2020,ACL,0,0
2020.acl-main.33,2020,ACL,0,0
2020.acl-main.330,2020,ACL,0,0
2020.acl-main.331,2020,ACL,0,0
2020.acl-main.332,2020,ACL,0,0
2020.acl-main.333,2020,ACL,0,0
2020.acl-main.334,2020,ACL,0,0
2020.acl-main.335,2020,ACL,0,0
2020.acl-main.336,2020,ACL,0,0
2020.acl-main.337,2020,ACL,0,0
2020.acl-main.338,2020,ACL,0,0
2020.acl-main.339,2020,ACL,0,0
2020.acl-main.34,2020,ACL,0,0
2020.acl-main.340,2020,ACL,1,0
2020.acl-main.341,2020,ACL,0,0
2020.acl-main.342,2020,ACL,0,0
2020.acl-main.343,2020,ACL,0,0
2020.acl-main.344,2020,ACL,1,0
2020.acl-main.345,2020,ACL,0,0
2020.acl-main.346,2020,ACL,0,0
2020.acl-main.347,2020,ACL,0,0
2020.acl-main.348,2020,ACL,0,0
2020.acl-main.349,2020,ACL,0,0
2020.acl-main.35,2020,ACL,0,0
2020.acl-main.350,2020,ACL,1,1
2020.acl-main.351,2020,ACL,0,0
2020.acl-main.352,2020,ACL,0,0
2020.acl-main.353,2020,ACL,0,0
2020.acl-main.354,2020,ACL,0,0
2020.acl-main.355,2020,ACL,0,0
2020.acl-main.356,2020,ACL,0,0
2020.acl-main.357,2020,ACL,0,0
2020.acl-main.358,2020,ACL,0,0
2020.acl-main.359,2020,ACL,0,0
2020.acl-main.36,2020,ACL,1,0
2020.acl-main.360,2020,ACL,0,0
2020.acl-main.361,2020,ACL,0,0
2020.acl-main.362,2020,ACL,0,0
2020.acl-main.363,2020,ACL,0,0
2020.acl-main.364,2020,ACL,0,0
2020.acl-main.365,2020,ACL,0,0
2020.acl-main.366,2020,ACL,0,0
2020.acl-main.367,2020,ACL,0,0
2020.acl-main.368,2020,ACL,1,0
2020.acl-main.369,2020,ACL,0,0
2020.acl-main.37,2020,ACL,1,0
2020.acl-main.370,2020,ACL,1,0
2020.acl-main.371,2020,ACL,0,0
2020.acl-main.372,2020,ACL,0,0
2020.acl-main.373,2020,ACL,0,0
2020.acl-main.374,2020,ACL,0,0
2020.acl-main.375,2020,ACL,0,0
2020.acl-main.376,2020,ACL,0,0
2020.acl-main.377,2020,ACL,0,0
2020.acl-main.378,2020,ACL,0,0
2020.acl-main.379,2020,ACL,0,0
2020.acl-main.38,2020,ACL,1,0
2020.acl-main.380,2020,ACL,0,0
2020.acl-main.381,2020,ACL,0,0
2020.acl-main.382,2020,ACL,0,0
2020.acl-main.383,2020,ACL,0,0
2020.acl-main.384,2020,ACL,0,0
2020.acl-main.385,2020,ACL,0,0
2020.acl-main.386,2020,ACL,0,0
2020.acl-main.387,2020,ACL,0,0
2020.acl-main.388,2020,ACL,1,1
2020.acl-main.389,2020,ACL,0,0
2020.acl-main.39,2020,ACL,0,0
2020.acl-main.390,2020,ACL,0,0
2020.acl-main.391,2020,ACL,0,0
2020.acl-main.392,2020,ACL,0,0
2020.acl-main.393,2020,ACL,0,0
2020.acl-main.394,2020,ACL,0,0
2020.acl-main.395,2020,ACL,0,0
2020.acl-main.396,2020,ACL,0,0
2020.acl-main.397,2020,ACL,1,1
2020.acl-main.398,2020,ACL,0,0
2020.acl-main.399,2020,ACL,0,0
2020.acl-main.4,2020,ACL,0,0
2020.acl-main.40,2020,ACL,1,0
2020.acl-main.400,2020,ACL,0,0
2020.acl-main.401,2020,ACL,0,0
2020.acl-main.402,2020,ACL,0,0
