paper_id,year,openalex_work_id,first_author_openalex_id,last_author_openalex_id,author_count_openalex,institution_count_openalex,author_id_coverage,institution_id_coverage,author_history_coverage,institution_history_coverage,author_prior_citations_3y_max_log1p,author_prior_works_3y_mean_log1p,institution_prior_citations_3y_max_log1p,has_code_url,has_model_url,has_data_url,has_public_artifact,history_window_years
2020.acl-main.586,2020,W3021802247,A5020005244,A5102886212,5,4,1,1,1,1,8.9382691470385485,3.737669618283368,14.416028062956311,1,0,0,1,3
2020.acl-main.593,2020,W3016791490,A5007903277,A5088517824,5,1,1,1,1,1,9.326967183907902,3.8543938925915096,10.172063255248172,0,1,0,1,3
2020.acl-main.595,2020,W3035594424,A5100660086,A5022672030,7,2,1,1,1,1,9.2010977906092499,2.7362210780689065,14.6860090474076,0,0,0,0,3
2020.acl-main.599,2020,W3034364750,A5101622992,A5007985173,8,2,1,1,1,1,9.1102990177959562,3.4812400893356918,13.811854884123598,0,0,0,0,3
2020.acl-main.604,2020,W3034987253,A5062188134,A5042018181,8,3,1,1,1,1,7.8601850574721652,3.0325462466767075,12.172112471446578,0,0,0,0,3
2020.acl-main.616,2020,W3035731883,A5072082849,A5010013507,3,2,1,1,1,1,4.1271343850450917,1.7346010553881064,15.630503527014731,0,0,0,0,3
2020.acl-main.617,2020,W3023009950,A5055452554,A5103852640,6,3,1,1,1,1,7.89989532313973,3.1640675883732059,15.00045496520046,0,0,0,0,3
2020.acl-main.624,2020,W3034653145,A5070380110,A5027450194,3,1,1,1,1,1,9.6621800305942465,4.2858827741209797,12.405378318864289,0,0,0,0,3
2020.acl-main.625,2020,W3034665873,A5035055509,A5081398601,5,0,1,0,1,0,9.7061335729082128,3.4468078929142081,,0,1,0,1,3
2020.acl-main.638,2020,W3035337525,A5102952032,A5101840854,5,2,1,1,1,1,7.3310603052186316,2.8449093838194077,14.214771795132586,0,0,0,0,3
2020.acl-main.640,2020,W3035702572,A5027178632,A5029568096,3,1,1,1,1,1,7.7566233345388582,3.4446824936018943,14.460542546509824,0,0,0,0,3
2020.acl-main.648,2020,W3034258576,A5111353285,A5018976680,2,2,1,1,1,1,7.5137092478397047,3.6888794541139358,14.227067738326603,0,0,0,0,3
2020.acl-main.665,2020,W3023352130,A5040570970,A5066497689,4,1,1,1,1,1,5.1474944768134527,2.2772672850097559,11.567707167779876,0,0,0,0,3
2020.acl-main.670,2020,W3021348542,A5101511746,A5090038537,4,3,1,1,1,1,8.2313760455739686,3.0796137575346929,14.713774987941722,1,0,0,1,3
2020.acl-main.686,2020,W3035251378,A5119012009,A5070926896,7,2,1,1,1,1,9.3119036873856231,3.3623575483458921,14.512335467381185,1,0,0,1,3
2020.acl-main.687,2020,W3034955736,A5057842780,A5082767919,3,1,1,1,1,1,8.1958853913147962,2.6149597780361979,13.103412946885303,0,0,0,0,3
2020.acl-main.704,2020,W3016254928,A5069698101,A5109937799,3,1,1,1,1,1,8.2155474119470693,3.1640675883732059,13.616931562261003,0,0,0,0,3
2020.acl-main.705,2020,W3035317912,A5037467245,A5100627504,5,2,1,1,1,1,8.8237951487205297,3.3393219779440679,13.617366889101389,0,1,0,1,3
2020.acl-main.718,2020,W2983386625,A5036823356,A5075825791,5,1,1,1,1,1,7.8284363591575854,3.310543013394025,14.749790509197988,0,0,0,0,3
2020.acl-main.720,2020,W3021456553,A5001258753,A5024437840,3,1,1,1,1,1,8.2766491254218604,3.3900240810640301,14.749790509197988,0,0,0,0,3
2020.acl-main.731,2020,W3035313462,A5063149046,A5107836252,4,2,1,1,1,1,8.5525603352535295,3.8659790669267391,14.241387911435329,0,0,0,0,3
2020.acl-main.740,2020,W3017961061,A5075783850,A5088517824,7,1,1,1,1,1,9.326967183907902,3.5008272226109969,10.172063255248172,0,1,0,1,3
2020.acl-main.745,2020,W3035231859,A5078519761,A5101404695,4,2,1,1,1,1,8.9540277592704598,4.4308167988433134,13.617366889101389,0,0,0,0,3
2020.acl-main.747,2020,W2983040767,A5068394403,A5091317839,10,3,1,1,1,1,10.144510313937577,3.1267605359603952,14.749790509197988,0,1,0,1,3
2020.acl-main.753,2020,W3035511085,A5046881440,A5008056956,4,2,1,1,1,1,8.1845137530337215,3.1135153092103742,14.749790509197988,0,0,0,0,3
2020.acl-main.771,2020,W3027825046,A5104274124,A5033696194,2,1,1,1,1,1,7.9287663216266946,3.6375861597263857,12.418025817448733,0,0,0,0,3
2020.acl-main.78,2020,W3034208549,A5100403505,A5005421447,3,2,1,1,1,1,10.442113151159798,4.5468346089751277,13.375126311649309,0,0,0,0,3
2020.acl-main.9,2020,W3035451444,A5003409838,A5100386394,5,1,1,1,1,1,8.1783581656058359,3.5779478934066544,10.812330619275128,0,1,0,1,3
2020.emnlp-main.1,2020,W3102577836,A5021733732,A5073692224,5,2,1,1,1,1,8.6256887875695369,3.5145260669691587,13.617366889101389,0,0,0,0,3
2020.emnlp-main.10,2020,W3091892441,A5015256182,A5081635691,2,3,1,1,1,1,8.5301094166827838,4.0163830207523885,13.617366889101389,0,0,0,0,3
2020.emnlp-main.103,2020,W3098648677,A5090130877,A5062546146,2,2,1,1,1,1,8.3284510668193601,3.5553480614894131,14.563995468146317,0,1,0,1,3
2020.emnlp-main.105,2020,W3099338292,A5056096860,A5101509445,4,2,1,1,1,1,8.6242522637096446,3.0563568953704259,12.156241439664829,0,0,0,0,3
