anthology_id,venue_dir,venue,year,award,title,source_url,pdf_url
2023.acl-long.213,2023.acl-long,ACL,2023,Area Chair Award (Interpretability and Analysis of Models for NLP),Entity Tracking in Language Models,https://aclanthology.org/2023.acl-long.213/,https://aclanthology.org/2023.acl-long.213.pdf
2023.acl-long.243,2023.acl-long,ACL,2023,Outstanding Paper Award,CAME: Confidence-guided Adaptive Memory Efficient Optimization,https://aclanthology.org/2023.acl-long.243/,https://aclanthology.org/2023.acl-long.243.pdf
2023.acl-long.270,2023.acl-long,ACL,2023,Outstanding Paper Award,"Don’t Generate, Discriminate: A Proposal for Grounding Language Models to Real-World Environments",https://aclanthology.org/2023.acl-long.270/,https://aclanthology.org/2023.acl-long.270.pdf
2023.acl-long.31,2023.acl-long,ACL,2023,Outstanding Paper Award,World-to-Words: Grounded Open Vocabulary Acquisition through Fast Mapping in Vision-Language Models,https://aclanthology.org/2023.acl-long.31/,https://aclanthology.org/2023.acl-long.31.pdf
2023.acl-long.310,2023.acl-long,ACL,2023,Best Paper Award,What the DAAM: Interpreting Stable Diffusion Using Cross Attention,https://aclanthology.org/2023.acl-long.310/,https://aclanthology.org/2023.acl-long.310.pdf
2023.acl-long.346,2023.acl-long,ACL,2023,Outstanding Paper Award,Multilingual LLMs are Better Cross-lingual In-context Learners with Alignment,https://aclanthology.org/2023.acl-long.346/,https://aclanthology.org/2023.acl-long.346.pdf
2023.acl-long.362,2023.acl-long,ACL,2023,Outstanding Paper Award,PeaCoK: Persona Commonsense Knowledge for Consistent and Engaging Narratives,https://aclanthology.org/2023.acl-long.362/,https://aclanthology.org/2023.acl-long.362.pdf
2023.acl-long.38,2023.acl-long,ACL,2023,Area Chair Award (Semantics: Lexical),LexSym: Compositionality as Lexical Symmetry,https://aclanthology.org/2023.acl-long.38/,https://aclanthology.org/2023.acl-long.38.pdf
2023.acl-long.401,2023.acl-long,ACL,2023,Outstanding Paper Award,VisText: A Benchmark for Semantically Rich Chart Captioning,https://aclanthology.org/2023.acl-long.401/,https://aclanthology.org/2023.acl-long.401.pdf
2023.acl-long.41,2023.acl-long,ACL,2023,Best Paper Award,Do Androids Laugh at Electric Sheep? Humor “Understanding” Benchmarks from The New Yorker Caption Contest,https://aclanthology.org/2023.acl-long.41/,https://aclanthology.org/2023.acl-long.41.pdf
2023.acl-long.417,2023.acl-long,ACL,2023,Outstanding Paper Award,Towards Zero-Shot Multilingual Transfer for Code-Switched Responses,https://aclanthology.org/2023.acl-long.417/,https://aclanthology.org/2023.acl-long.417.pdf
2023.acl-long.423,2023.acl-long,ACL,2023,Area Chair Award (NLP Applications),Are You Copying My Model? Protecting the Copyright of Large Language Models for EaaS via Backdoor Watermark,https://aclanthology.org/2023.acl-long.423/,https://aclanthology.org/2023.acl-long.423.pdf
2023.acl-long.447,2023.acl-long,ACL,2023,"Area Chair Award (Semantics: Sentence-level Semantics, Textual Inference, and Other Areas)",ParaAMR: A Large-Scale Syntactically Diverse Paraphrase Dataset by AMR Back-Translation,https://aclanthology.org/2023.acl-long.447/,https://aclanthology.org/2023.acl-long.447.pdf
2023.acl-long.555,2023.acl-long,ACL,2023,Outstanding Paper Award,Cognitive Reframing of Negative Thoughts through Human-Language Model Interaction,https://aclanthology.org/2023.acl-long.555/,https://aclanthology.org/2023.acl-long.555.pdf
2023.acl-long.61,2023.acl-long,ACL,2023,Area Chair Award (Multilingualism and Cross-Lingual NLP),Glot500: Scaling Multilingual Corpora and Language Models to 500 Languages,https://aclanthology.org/2023.acl-long.61/,https://aclanthology.org/2023.acl-long.61.pdf
2023.acl-long.641,2023.acl-long,ACL,2023,Outstanding Paper Award,MultiInstruct: Improving Multi-Modal Zero-Shot Learning via Instruction Tuning,https://aclanthology.org/2023.acl-long.641/,https://aclanthology.org/2023.acl-long.641.pdf
2023.acl-long.656,2023.acl-long,ACL,2023,Best Paper Award,From Pretraining Data to Language Models to Downstream Tasks: Tracking the Trails of Political Biases Leading to Unfair NLP Models,https://aclanthology.org/2023.acl-long.656/,https://aclanthology.org/2023.acl-long.656.pdf
2023.acl-long.66,2023.acl-long,ACL,2023,Outstanding Paper Award,Improving Pretraining Techniques for Code-Switched NLP,https://aclanthology.org/2023.acl-long.66/,https://aclanthology.org/2023.acl-long.66.pdf
2023.acl-long.661,2023.acl-long,ACL,2023,Outstanding Paper Award,Question-Answering in a Low-resourced Language: Benchmark Dataset and Models for Tigrinya,https://aclanthology.org/2023.acl-long.661/,https://aclanthology.org/2023.acl-long.661.pdf
2023.acl-long.665,2023.acl-long,ACL,2023,Outstanding Paper Award,Transfer and Active Learning for Dissonance Detection: Addressing the Rare-Class Challenge,https://aclanthology.org/2023.acl-long.665/,https://aclanthology.org/2023.acl-long.665.pdf
2023.acl-long.688,2023.acl-long,ACL,2023,Area Chair Award (Discourse and Pragmatics),Resolving Indirect Referring Expressions for Entity Selection,https://aclanthology.org/2023.acl-long.688/,https://aclanthology.org/2023.acl-long.688.pdf
2023.acl-long.695,2023.acl-long,ACL,2023,Outstanding Paper Award,Hybrid Transducer and Attention based Encoder-Decoder Modeling for Speech-to-Text Tasks,https://aclanthology.org/2023.acl-long.695/,https://aclanthology.org/2023.acl-long.695.pdf
2023.acl-long.700,2023.acl-long,ACL,2023,Outstanding Paper Award,Neural Machine Translation Methods for Translating Text to Sign Language Glosses,https://aclanthology.org/2023.acl-long.700/,https://aclanthology.org/2023.acl-long.700.pdf
2023.acl-long.756,2023.acl-long,ACL,2023,Outstanding Paper Award,Dissecting Transformer Length Extrapolation via the Lens of Receptive Field Analysis,https://aclanthology.org/2023.acl-long.756/,https://aclanthology.org/2023.acl-long.756.pdf
