paper_id,country_code,year,paper_venue,compute_tflops,log10_compute_tflops,year_p80_cutoff_tflops,is_year_top20_compute,country_count_per_paper
2020.acl-main.149,GB,2020,ACL,152.416,2.1830305598314963,448.0,0,5
2020.acl-main.227,GB,2020,ACL,9.526,0.9789105771755716,448.0,0,2
2020.emnlp-main.1,GB,2020,EMNLP,12.15,1.084576277934331,448.0,0,2
2020.emnlp-main.125,GB,2020,EMNLP,112.0,2.0492180226701815,448.0,0,2
2020.emnlp-main.15,GB,2020,EMNLP,8.126,0.9098768179903928,448.0,0,4
2020.emnlp-main.169,GB,2020,EMNLP,8.873,0.9480704815189411,448.0,0,3
2020.emnlp-main.184,GB,2020,EMNLP,113.8,2.056142262059052,448.0,0,2
2020.emnlp-main.187,GB,2020,EMNLP,38.104,1.580970568503534,448.0,0,1
2020.emnlp-main.2,GB,2020,EMNLP,12.15,1.084576277934331,448.0,0,2
2020.emnlp-main.24,GB,2020,EMNLP,113.8,2.056142262059052,448.0,0,1
2020.emnlp-main.244,GB,2020,EMNLP,6.691,0.8254910298794309,448.0,0,1
2020.emnlp-main.253,GB,2020,EMNLP,227.6,2.3571722577230334,448.0,0,1
2020.emnlp-main.296,GB,2020,EMNLP,45.36,1.6566730458848502,448.0,0,1
2020.emnlp-main.315,GB,2020,EMNLP,113.8,2.056142262059052,448.0,0,2
2020.emnlp-main.316,GB,2020,EMNLP,11.34,1.0546130545568877,448.0,0,2
2020.emnlp-main.325,GB,2020,EMNLP,9.526,0.9789105771755716,448.0,0,3
2020.emnlp-main.333,GB,2020,EMNLP,11.34,1.0546130545568877,448.0,0,1
2020.emnlp-main.337,GB,2020,EMNLP,455.2,2.6582022533870147,448.0,1,2
2020.emnlp-main.351,GB,2020,EMNLP,428.0,2.6314437690131722,448.0,0,2
2020.emnlp-main.390,GB,2020,EMNLP,2496.0,3.397244581010386,448.0,1,3
2020.emnlp-main.402,GB,2020,EMNLP,312.0,2.494154594018443,448.0,0,1
2020.emnlp-main.415,GB,2020,EMNLP,952.8,2.979001748474721,448.0,1,2
2020.emnlp-main.470,GB,2020,EMNLP,8.126,0.9098768179903928,448.0,0,2
2020.emnlp-main.519,GB,2020,EMNLP,896.0,2.9523080096621253,448.0,1,3
2020.emnlp-main.573,GB,2020,EMNLP,11.34,1.0546130545568877,448.0,0,1
2020.emnlp-main.580,GB,2020,EMNLP,1792.0,3.2533380053261065,448.0,1,3
2020.emnlp-main.584,GB,2020,EMNLP,2496.0,3.397244581010386,448.0,1,4
2020.emnlp-main.607,GB,2020,EMNLP,11.34,1.0546130545568877,448.0,0,2
2020.emnlp-main.616,GB,2020,EMNLP,113.8,2.056142262059052,448.0,0,3
2020.emnlp-main.623,GB,2020,EMNLP,113.8,2.056142262059052,448.0,0,1
2020.emnlp-main.677,GB,2020,EMNLP,8.873,0.9480704815189411,448.0,0,1
2020.emnlp-main.692,GB,2020,EMNLP,112.0,2.0492180226701815,448.0,0,2
2020.emnlp-main.713,GB,2020,EMNLP,7168.0,3.8553979966540686,448.0,1,2
2020.emnlp-main.607,GR,2020,EMNLP,11.34,1.0546130545568877,448.0,0,2
2020.acl-main.665,IE,2020,ACL,22.68,1.355643050220869,448.0,0,2
2020.emnlp-main.184,IE,2020,EMNLP,113.8,2.056142262059052,448.0,0,2
2020.emnlp-main.230,IE,2020,EMNLP,22.68,1.355643050220869,448.0,0,2
2020.acl-main.43,IL,2020,ACL,110.0,2.041392685158225,448.0,0,2
2020.emnlp-main.248,IL,2020,EMNLP,12.15,1.084576277934331,448.0,0,2
2020.emnlp-main.343,IL,2020,EMNLP,224.0,2.3502480183341627,448.0,0,2
2020.emnlp-main.528,IL,2020,EMNLP,130.5,2.1156105116742996,448.0,0,2
2020.emnlp-main.687,IL,2020,EMNLP,672.0,2.8273692730538253,448.0,1,2
2020.emnlp-main.746,IL,2020,EMNLP,110.0,2.041392685158225,448.0,0,2
2020.acl-main.247,IN,2020,ACL,152.416,2.1830305598314963,448.0,0,2
2020.acl-main.771,IN,2020,ACL,11.34,1.0546130545568877,448.0,0,1
2020.emnlp-main.305,IN,2020,EMNLP,5.046,0.7029472461815558,448.0,0,1
2020.emnlp-main.306,IN,2020,EMNLP,112.0,2.0492180226701815,448.0,0,1
2020.emnlp-main.576,IN,2020,EMNLP,38.104,1.580970568503534,448.0,0,1
2020.emnlp-main.619,IN,2020,EMNLP,8.126,0.9098768179903928,448.0,0,1
2020.emnlp-main.676,IN,2020,EMNLP,8.126,0.9098768179903928,448.0,0,1
2020.emnlp-main.711,IN,2020,EMNLP,110.0,2.041392685158225,448.0,0,2
2020.emnlp-main.584,IR,2020,EMNLP,2496.0,3.397244581010386,448.0,1,4
2020.acl-main.496,IT,2020,ACL,112.0,2.0492180226701815,448.0,0,1
2020.emnlp-main.18,IT,2020,EMNLP,224.0,2.3502480183341627,448.0,0,1
2020.emnlp-main.195,IT,2020,EMNLP,6.691,0.8254910298794309,448.0,0,1
2020.emnlp-main.285,IT,2020,EMNLP,11.34,1.0546130545568877,448.0,0,1
2020.emnlp-main.584,IT,2020,EMNLP,2496.0,3.397244581010386,448.0,1,4
2020.emnlp-main.585,IT,2020,EMNLP,113.8,2.056142262059052,448.0,0,1
2020.acl-main.149,JP,2020,ACL,152.416,2.1830305598314963,448.0,0,5
2020.acl-main.324,JP,2020,ACL,896.0,2.9523080096621253,448.0,1,2
2020.emnlp-main.125,JP,2020,EMNLP,112.0,2.0492180226701815,448.0,0,2
2020.emnlp-main.267,JP,2020,EMNLP,8.873,0.9480704815189411,448.0,0,1
2020.emnlp-main.41,JP,2020,EMNLP,224.0,2.3502480183341627,448.0,0,1
2020.emnlp-main.488,JP,2020,EMNLP,112.0,2.0492180226701815,448.0,0,3
2020.emnlp-main.513,JP,2020,EMNLP,214.0,2.330413773349191,448.0,0,1
2020.emnlp-main.523,JP,2020,EMNLP,1792.0,3.2533380053261065,448.0,1,2
2020.emnlp-main.631,JP,2020,EMNLP,112.0,2.0492180226701815,448.0,0,1
2020.emnlp-main.68,JP,2020,EMNLP,1000.0,3.0,448.0,1,1
2020.emnlp-main.130,KE,2020,EMNLP,9.526,0.9789105771755716,448.0,0,2
2020.emnlp-main.120,KR,2020,EMNLP,896.0,2.9523080096621253,448.0,1,2
2020.emnlp-main.189,KR,2020,EMNLP,312.0,2.494154594018443,448.0,0,1
2020.emnlp-main.198,KR,2020,EMNLP,113.8,2.056142262059052,448.0,0,1
2020.emnlp-main.255,KR,2020,EMNLP,26.764,1.4275510212073932,448.0,0,1
2020.emnlp-main.280,KR,2020,EMNLP,112.0,2.0492180226701815,448.0,0,1
2020.emnlp-main.308,KR,2020,EMNLP,22.68,1.355643050220869,448.0,0,1
2020.emnlp-main.352,KR,2020,EMNLP,6.832,0.8345478576809486,448.0,0,2
2020.emnlp-main.448,KR,2020,EMNLP,11.76,1.0704073217401198,448.0,0,2
2020.emnlp-main.476,KR,2020,EMNLP,448.0,2.651278013998144,448.0,1,1
2020.emnlp-main.65,KR,2020,EMNLP,12.15,1.084576277934331,448.0,0,1
2020.emnlp-main.737,KR,2020,EMNLP,330.0,2.5185139398778875,448.0,0,2
2020.emnlp-main.84,KR,2020,EMNLP,6.691,0.8254910298794309,448.0,0,1
2020.acl-main.648,LT,2020,ACL,107.0,2.0293837776852097,448.0,0,2
2020.emnlp-main.80,MO,2020,EMNLP,448.0,2.651278013998144,448.0,1,2
2020.emnlp-main.171,NL,2020,EMNLP,113.8,2.056142262059052,448.0,0,2
2020.emnlp-main.180,NL,2020,EMNLP,112.0,2.0492180226701815,448.0,0,1
2020.emnlp-main.337,NL,2020,EMNLP,455.2,2.6582022533870147,448.0,1,2
2020.emnlp-main.353,NL,2020,EMNLP,11.34,1.0546130545568877,448.0,0,1
2020.emnlp-main.371,NL,2020,EMNLP,112.0,2.0492180226701815,448.0,0,1
2020.emnlp-main.377,NL,2020,EMNLP,11.34,1.0546130545568877,448.0,0,1
2020.emnlp-main.616,NL,2020,EMNLP,113.8,2.056142262059052,448.0,0,3
2020.emnlp-main.197,PK,2020,EMNLP,11.34,1.0546130545568877,448.0,0,1
2020.emnlp-main.171,PT,2020,EMNLP,113.8,2.056142262059052,448.0,0,2
2020.emnlp-main.213,PT,2020,EMNLP,130.5,2.1156105116742996,448.0,0,1
2020.emnlp-main.348,PT,2020,EMNLP,130.5,2.1156105116742996,448.0,0,1
2020.emnlp-main.395,QA,2020,EMNLP,6.691,0.8254910298794309,448.0,0,2
2020.emnlp-main.398,QA,2020,EMNLP,6.691,0.8254910298794309,448.0,0,2
2020.emnlp-main.404,QA,2020,EMNLP,26.764,1.4275510212073932,448.0,0,2
2020.emnlp-main.438,QA,2020,EMNLP,89.2,1.9503648543761232,448.0,0,3
2020.acl-main.301,SG,2020,ACL,11.34,1.0546130545568877,448.0,0,2
2020.acl-main.306,SG,2020,ACL,113.8,2.056142262059052,448.0,0,2
2020.acl-main.522,SG,2020,ACL,112.0,2.0492180226701815,448.0,0,2
2020.emnlp-main.108,SG,2020,EMNLP,130.5,2.1156105116742996,448.0,0,2
2020.emnlp-main.124,SG,2020,EMNLP,112.0,2.0492180226701815,448.0,0,2
