country_code,full_count_n,full_count_top20_n,median_compute_tflops,p80_compute_tflops,median_log10_compute,p80_log10_compute,top20_compute_share,top20_compute_intensity,full_count_n_rank,top20_compute_share_rank
PS,2,0,221.25,275.7,2.3048825528463714,2.418445777549614,0.0,0.0,61,53
SI,2,0,147.5,193.4,2.100753183526619,2.2504500844111455,0.0,0.0,61,53
AM,1,0,59.54,59.54,1.774808830310706,1.774808830310706,0.0,0.0,70,53
BI,1,0,1760.0,1760.0,3.24551266781415,3.24551266781415,0.0,0.0,70,53
CL,1,0,110.0,110.0,2.041392685158225,2.041392685158225,0.0,0.0,70,53
CU,1,0,312.0,312.0,2.494154594018443,2.494154594018443,0.0,0.0,70,53
EG,1,0,312.0,312.0,2.494154594018443,2.494154594018443,0.0,0.0,70,53
GT,1,0,250.0,250.0,2.3979400086720375,2.3979400086720375,0.0,0.0,70,53
HR,1,0,284.0,284.0,2.4533183400470375,2.4533183400470375,0.0,0.0,70,53
HU,1,0,428.0,428.0,2.6314437690131722,2.6314437690131722,0.0,0.0,70,53
IQ,1,0,71.0,71.0,1.8512583487190752,1.8512583487190752,0.0,0.0,70,53
JO,1,0,312.0,312.0,2.494154594018443,2.494154594018443,0.0,0.0,70,53
KZ,1,0,112.0,112.0,2.0492180226701815,2.0492180226701815,0.0,0.0,70,53
ML,1,0,112.0,112.0,2.0492180226701815,2.0492180226701815,0.0,0.0,70,53
MR,1,0,312.0,312.0,2.494154594018443,2.494154594018443,0.0,0.0,70,53
PK,1,0,11.34,11.34,1.0546130545568877,1.0546130545568877,0.0,0.0,70,53
PR,1,0,724.0,724.0,2.859738566197147,2.859738566197147,0.0,0.0,70,53
SO,1,0,312.0,312.0,2.494154594018443,2.494154594018443,0.0,0.0,70,53
TG,1,0,112.0,112.0,2.0492180226701815,2.0492180226701815,0.0,0.0,70,53
ZM,1,0,9.526,9.526,0.9789105771755716,0.9789105771755716,0.0,0.0,70,53
