model_id,nobs,coef,classical_se,t,df_resid,partial_r2_compute_outcome,robustness_value_zero,robustness_value_alpha_0_05,benchmark,benchmark_multiplier,benchmark_outcome_partial_r2,benchmark_treatment_partial_r2,assumed_outcome_partial_r2,assumed_treatment_partial_r2,bias_adjusted_coef,status,reason
M3,2077,0.14375876122573647,0.048162679903672276,2.9848580168973373,2026.0,0.004378267396115118,0.06415148796627512,0.022486590697286434,year-by-venue FE,1.0,0.11739766425176805,0.015380315972739035,0.11739766425176805,0.015380315972739035,0.05092446168733365,ok,
M3,2077,0.14375876122573647,0.048162679903672276,2.9848580168973373,2026.0,0.004378267396115118,0.06415148796627512,0.022486590697286434,year-by-venue FE,2.0,0.11739766425176805,0.015380315972739035,0.2347953285035361,0.03076063194547807,-0.04337717511150707,ok,
M3,2077,0.14375876122573647,0.048162679903672276,2.9848580168973373,2026.0,0.004378267396115118,0.06415148796627512,0.022486590697286434,topic FE,1.0,0.04462927427619315,0.07394204200238388,0.04462927427619315,0.07394204200238388,0.01434903659790357,ok,
M3,2077,0.14375876122573647,0.048162679903672276,2.9848580168973373,2026.0,0.004378267396115118,0.06415148796627512,0.022486590697286434,topic FE,2.0,0.04462927427619315,0.07394204200238388,0.0892585485523863,0.14788408400476777,-0.12605658928370986,ok,
M3,2077,0.14375876122573647,0.048162679903672276,2.9848580168973373,2026.0,0.004378267396115118,0.06415148796627512,0.022486590697286434,team size,1.0,0.0029898415317273553,0.0030874035466023895,0.0029898415317273553,0.0030874035466023895,0.13716212390420462,ok,
M3,2077,0.14375876122573647,0.048162679903672276,2.9848580168973373,2026.0,0.004378267396115118,0.06415148796627512,0.022486590697286434,team size,2.0,0.0029898415317273553,0.0030874035466023895,0.005979683063454711,0.006174807093204779,0.13054500945191383,ok,
M3,2077,0.14375876122573647,0.048162679903672276,2.9848580168973373,2026.0,0.004378267396115118,0.06415148796627512,0.022486590697286434,organization count,1.0,0.0010881062387653852,0.0024614056012617716,0.0010881062387653852,0.0024614056012617716,0.1402065993112392,ok,
M3,2077,0.14375876122573647,0.048162679903672276,2.9848580168973373,2026.0,0.004378267396115118,0.06415148796627512,0.022486590697286434,organization count,2.0,0.0010881062387653852,0.0024614056012617716,0.0021762124775307704,0.004922811202523543,0.13664565625776845,ok,
M3,2077,0.14375876122573647,0.048162679903672276,2.9848580168973373,2026.0,0.004378267396115118,0.06415148796627512,0.022486590697286434,author history,1.0,0.028248903512158325,0.004058174562066687,0.028248903512158325,0.004058174562066687,0.12050037710101222,ok,
M3,2077,0.14375876122573647,0.048162679903672276,2.9848580168973373,2026.0,0.004378267396115118,0.06415148796627512,0.022486590697286434,author history,2.0,0.028248903512158325,0.004058174562066687,0.05649780702431665,0.008116349124133374,0.09714693118467894,ok,
M3,2077,0.14375876122573647,0.048162679903672276,2.9848580168973373,2026.0,0.004378267396115118,0.06415148796627512,0.022486590697286434,institution visibility/history,1.0,0.00840807339639718,0.049633515394068274,0.00840807339639718,0.049633515394068274,0.09833107956362182,ok,
M3,2077,0.14375876122573647,0.048162679903672276,2.9848580168973373,2026.0,0.004378267396115118,0.06415148796627512,0.022486590697286434,institution visibility/history,2.0,0.00840807339639718,0.049633515394068274,0.01681614679279436,0.09926703078813655,0.05043374032832962,ok,
M3,2077,0.14375876122573647,0.048162679903672276,2.9848580168973373,2026.0,0.004378267396115118,0.06415148796627512,0.022486590697286434,strongest observed control group,1.0,0.04462927427619315,0.07394204200238388,0.04462927427619315,0.07394204200238388,0.01434903659790357,ok,
M3,2077,0.14375876122573647,0.048162679903672276,2.9848580168973373,2026.0,0.004378267396115118,0.06415148796627512,0.022486590697286434,strongest observed control group,2.0,0.04462927427619315,0.07394204200238388,0.0892585485523863,0.14788408400476777,-0.12605658928370986,ok,
