outcome_model,model,spec,formula,controls,outcome,family,compute_var,team_control,cov_type,nobs,df_model,coef,se,p,ci_low,ci_high,r2,adj_r2,mean_y,pct_per_10x,pp_per_10x
GPU-only LPM: high cited all-yv top10,lpm_1,1,is_highly_cited_all_yv ~ log10_max_compute + C(year_venue),Year x Venue FE,is_highly_cited_all_yv,lpm,log10_max_compute,group,HC3,3155,10.0,0.04240144506036102,0.008455196324986342,5.307799717276299e-07,0.025829564781172366,0.05897332533954967,0.008820165022290327,0.005667557404676726,0.10206022187004754,,4.240144506036102
GPU-only LPM: high cited all-yv top10,lpm_2,2,is_highly_cited_all_yv ~ log10_max_compute + C(year_venue) + C(primary_topic),+ Topic FE,is_highly_cited_all_yv,lpm,log10_max_compute,group,HC3,3155,38.0,0.03958126988715398,0.008672106107600693,5.0139072284167994e-06,0.022584254246146785,0.056578285528161174,0.03671022770440224,0.02496279145689495,0.10206022187004754,,3.9581269887153976
GPU-only LPM: high cited all-yv top10,lpm_3,3,is_highly_cited_all_yv ~ log10_max_compute + C(year_venue) + C(team_size_group),+ Team size,is_highly_cited_all_yv,lpm,log10_max_compute,group,HC3,3155,12.0,0.03678995519122644,0.008444941545389563,1.321896155351365e-05,0.020238173910716868,0.053341736471736005,0.015395294356998379,0.011634869001264314,0.10206022187004754,,3.6789955191226436
GPU-only LPM: high cited all-yv top10,lpm_4,4,is_highly_cited_all_yv ~ log10_max_compute + C(year_venue) + C(n_organizations_group),+ Org-count group,is_highly_cited_all_yv,lpm,log10_max_compute,group,HC3,3155,12.0,0.04154096251423921,0.008530560270507078,1.1178815307245897e-06,0.024821371616097074,0.058260553412381344,0.0106292852852643,0.006850657476041855,0.10206022187004754,,4.154096251423921
GPU-only LPM: high cited all-yv top10,lpm_5,5,is_highly_cited_all_yv ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group),+ Topic FE + Team,is_highly_cited_all_yv,lpm,log10_max_compute,group,HC3,3155,40.0,0.03443319912483006,0.008704152305057238,7.623081885010952e-05,0.017373374090966582,0.05149302415869354,0.042488243730378183,0.030188799205399075,0.10206022187004754,,3.4433199124830063
GPU-only LPM: high cited all-yv top10,lpm_6,6,is_highly_cited_all_yv ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(n_organizations_group),+ Topic FE + Org-count,is_highly_cited_all_yv,lpm,log10_max_compute,group,HC3,3155,40.0,0.03889173968219081,0.008737684728820874,8.545745020838091e-06,0.02176619230543627,0.056017287058945354,0.03840278632569183,0.02605086322133332,0.10206022187004754,,3.8891739682190813
GPU-only LPM: high cited all-yv top10,lpm_7,7,is_highly_cited_all_yv ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),+ Topic FE + Team + Org-count,is_highly_cited_all_yv,lpm,log10_max_compute,group,HC3,3155,42.0,0.034560222461505676,0.008729462819352513,7.525416100653046e-05,0.01745078973119327,0.051669655191818084,0.0431848324308205,0.030271517187277497,0.10206022187004754,,3.4560222461505674
GPU-only LPM: award,lpm_1,1,is_award ~ log10_max_compute + C(year_venue),Year x Venue FE,is_award,lpm,log10_max_compute,group,HC3,6895,16.0,0.0046894163935474005,0.003217531051727406,0.14498999499740026,-0.0016168285869775966,0.010995661374072398,0.016598637365136226,0.014310992438971826,0.02030456852791878,,0.46894163935474004
GPU-only LPM: award,lpm_2,2,is_award ~ log10_max_compute + C(year_venue) + C(primary_topic),+ Topic FE,is_award,lpm,log10_max_compute,group,HC3,6895,44.0,0.005125622550858752,0.003308601812842747,0.12133825289558942,-0.001359117841496965,0.011610362943214467,0.02919668742599646,0.022960870527710786,0.02030456852791878,,0.5125622550858752
GPU-only LPM: award,lpm_3,3,is_award ~ log10_max_compute + C(year_venue) + C(team_size_group),+ Team size,is_award,lpm,log10_max_compute,group,HC3,6895,18.0,0.004411349626624333,0.003230483553991894,0.17208386496283978,-0.0019202817918487344,0.0107429810450974,0.016729615637329442,0.014155609395542279,0.02030456852791878,,0.44113496266243335
GPU-only LPM: award,lpm_4,4,is_award ~ log10_max_compute + C(year_venue) + C(n_organizations_group),+ Org-count group,is_award,lpm,log10_max_compute,group,HC3,6895,18.0,0.004580057039665966,0.003256829289667632,0.15963706430818747,-0.0018032110718777597,0.010963325151209692,0.016708788788868723,0.014134728026535814,0.02030456852791878,,0.4580057039665966
GPU-only LPM: award,lpm_5,5,is_award ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group),+ Topic FE + Team,is_award,lpm,log10_max_compute,group,HC3,6895,46.0,0.004602852506304552,0.0033156427820056704,0.16506906472233995,-0.001895687932026751,0.011101392944635856,0.029438857900607296,0.022919317518514393,0.02030456852791878,,0.4602852506304552
GPU-only LPM: award,lpm_6,6,is_award ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(n_organizations_group),+ Topic FE + Org-count,is_award,lpm,log10_max_compute,group,HC3,6895,46.0,0.004945999694007265,0.0033458551922050336,0.13934173448048828,-0.0016117559802009407,0.011503755368215471,0.029317622081689088,0.0227972673234762,0.02030456852791878,,0.49459996940072654
GPU-only LPM: award,lpm_7,7,is_award ~ log10_max_compute + C(year_venue) + C(primary_topic) + C(team_size_group) + C(n_organizations_group),+ Topic FE + Team + Org-count,is_award,lpm,log10_max_compute,group,HC3,6895,48.0,0.004563516762828434,0.0033316904431610265,0.1707711616413673,-0.00196647651340347,0.01109351003906034,0.02950349986394285,0.02269896699708185,0.02030456852791878,,0.4563516762828434
